"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","3.57","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","54","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","96.43","Quality checks","C4121","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","3","Quality checks","C4126","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","3.8","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","76","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","96.2","Quality checks","C4126","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","2","Quality checks","C4140","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","3.39","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","57","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","96.61","Quality checks","C4140","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","8","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","6.78","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","110","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","93.22","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","1","Quality checks","C3947","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","1.02","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","97","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","98.98","Quality checks","C3947","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","1","Quality checks","C4121","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","1.79","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","55","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","98.21","Quality checks","C4121","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","1","Quality checks","C4126","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","1.27","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","78","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","98.73","Quality checks","C4126","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","2","Quality checks","C4140","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","3.39","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","57","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","96.61","Quality checks","C4140","RQ3 select yes","count and percentage"
"no","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","2","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","5.88","Quality checks","C3871","RQ3 select yes","count and percentage"
